Defluviitalea_A raffinosedens
Dehalobacter restrictus
Dehalobacterium formicoaceticum
Dehalogenimonas alkenigignens
Deinococcus actinosclerus
Deinococcus ficus
Deinococcus fonticola
Deinococcus geothermalis
Deinococcus grandis
Deinococcus indicus
Deinococcus metallilatus
Deinococcus murrayi
Deinococcus radiopugnans
Deinococcus seoulensis
Deinococcus soli
Dellaglioa algida
Demequina mangrovi
Denitratisoma oestradiolicum
Denitrobacterium detoxificans
Dermacoccus abyssi
Dermacoccus nishinomiyaensis
Dermatophilus congolensis
Desemzia incerta
Desulfatibacillum aliphaticivorans
Desulfobacter hydrogenophilus
Desulfobacula toluolica
Desulfococcus multivorans
Desulfofundulus australicus
Desulfofundulus kuznetsovii
Desulfoluna spongiiphila
Desulfolutivibrio sulfodismutans
Desulfolutivibrio sulfoxidireducens
Desulfomicrobium macestii
Desulforudis audaxviator
Desulfosarcina ovata
Desulfosporosinus acididurans
Desulfotomaculum hydrothermale
Desulfovibrio desulfuricans
Desulfovibrio fairfieldensis
Desulfovibrio legallii
Desulfurella acetivorans
Desulfurobacterium thermolithotrophum
Desulfuromonas acetoxidans
Dethiosulfovibrio russensis
Devosia indica
Devosia limi
Devosia psychrophila
Devosia subaequoris
Dialister hominis
Dialister invisus
Diaphorobacter nitroreducens
Dickeya aquatica
Dickeya fangzhongdai
Dictyoglomus thermophilum
Dielma fastidiosa
Dietzia maris
Dietzia natronolimnaea_A
Dietzia psychralcaliphila
Dietzia timorensis
Dinoroseobacter shibae
Diplocloster agilis
Diplocloster modestus
Dissulfurirhabdus thermomarina
Dokdonella_A fugitiva
Dokdonia donghaensis
Dokdonia pacifica
Dolosicoccus paucivorans
Dolosigranulum pigrum
Domibacillus aminovorans
Domibacillus enclensis
Domibacillus tundrae
Donghicola eburneus
Donghicola mangrovi
Dorea_A longicatena
Draconibacterium orientale
Duganella alba
Duganella lactea
Duganella margarita
Duganella rivuli
Duganella sacchari
Duganella vulcania
Duganella vulcania subspecies 1
Duganella zoogloeoides
Duncaniella dubosii
Duncaniella muris
Dyadobacter beijingensis
Dyadobacter sediminis
Dyella jiangningensis_B
Dyella_B caseinilytica
Dysgonomonas capnocytophagoides
Dysgonomonas gadei
Dysgonomonas macrotermitis
Dysosmobacter avistercoris
Dysosmobacter faecalis
Dysosmobacter welbionis
Echinicola pacifica
Echinicola rosea
Ectothiorhodosinus mongolicus
Ectothiorhodospira haloalkaliphila
Ectothiorhodospira marina
Ectothiorhodospira mobilis_A
Edaphobacter lichenicola_A
Edwardsiella hoshinae
Effusibacillus lacus
Egicoccus halophilus
Ehrlichia canis
Eikenella longinqua
Eikenella shayeganii
Eisenbergiella porci
Eisenbergiella tayi
Elizabethkingia bruuniana
Elizabethkingia miricola
Elizabethkingia ursingii
Elstera cyanobacteriorum
Emergencia timonensis
Empedobacter brevis
Empedobacter falsenii
Empedobacter stercoris
Endoriftia persephone
Endozoicomonas acroporae
Endozoicomonas ascidiicola
Enorma massiliensis
Ensifer adhaerens
Enterenecus faecium
Enterobacter_B lignolyticus
Enterocloster aldenensis
Enterocloster asparagiformis
Enterocloster lavalensis
Enterocloster pacaense
Enterococcus plantarum
Enterococcus silesiacus
Enterococcus termitis
Enterococcus ureasiticus
Enterococcus ureilyticus
Enterococcus wangshanyuanii
Enterococcus_B thailandicus
Enterococcus_C songbeiensis
Enterococcus_G italicus
Enterococcus_I alcedinis
Enterovibrio indicus
Enterovibrio nigricans
Entomoplasma ellychniae
Eoetvoesia caeni
Epibacterium multivorans
Epibacterium ulvae
Epilithonimonas arachidiradicis
Epilithonimonas bovis
Epilithonimonas ginsengisoli
Epilithonimonas hominis
Epilithonimonas lactis
Erwinia aphidicola
Erwinia beijingensis
Erwinia coffeiphila
Erwinia persicina
Erwinia rhapontici
Erwinia toletana
Erwinia_B gerundensis
Erythrobacter dokdonensis
Erythrobacter donghaensis_B
Erythrobacter ishigakiensis
Erythrobacter litoralis
Erythrobacter ramosus
Erythrobacter sanguineus
Escherichia marmotae
Ethanoligenens harbinense
Eubacterium callanderi
Eubacterium limosum
Eubacterium maltosivorans
Eubacterium_B infirmum
Eubacterium_B sulci
Eubacterium_G ventriosum
Eubacterium_I ramulus
Eubacterium_Q ruminantium
Eubacterium_T pyruvativorans
Euzebyella marina
Evansella alkalicola
